description,amount,transaction_type,category
Airport parking payment INR 7648.80,7648.80,expense,Transport
UPI/tanishqsilverjewellery/897135,18224.79,expense,Shopping
Airtel Xstream fiber broadband INR 562.20,562.20,expense,Utilities
Birthday cash gift received Ref #24585,3498.39,expense,Other
Sovereign Gold Bond tranche investment Ref #99417,43366.87,expense,Investment
Titan watch showroom,22710.45,expense,Shopping
Chai Point tea & snacks,2128.39,expense,Food
UPI/playstationplusquarterlynetwork/242321,599.60,expense,Entertainment
Mahanagar Gas piped natural gas,3837.22,expense,Utilities
Chalo bus card recharge Ref #47072,6983.64,expense,Transport
POS VI CELLULAR MONTHLY BILL,4261.43,expense,Utilities
ATM cash withdrawal transaction,7095.60,income,Other
UPI/rapidobiketaxi/874683,865.97,expense,Transport
Sovereign Gold Bond tranche investment Ref #38601,23490.90,expense,Investment
Uber premier cab ride,8488.06,expense,Transport
UPI/nammametrocardrecharge/476395,3272.53,expense,Transport
Apple Store USB cable INR 15716.79,15716.79,expense,Shopping
Donation to PM CARES relief fund INR 4182.20,4182.20,income,Other
POS SONYLIV ENTERTAINMENT PASS,2114.13,expense,Entertainment
Croma electronics accessory,19239.02,expense,Shopping
UPI/jiocinemapremiumsubscription/620306,2340.85,expense,Entertainment
Pind Balluchi family dinner Ref #87236,833.91,expense,Food
Dentist clinic dental cleaning INR 10214.69,10214.69,expense,Healthcare
UPI/shellindiapremiumfuel/790909,6195.20,expense,Transport
UPI/fortishealthcarephysicianvisit/461145,705.58,expense,Healthcare
Manipal Hospital OPD consultation,7471.35,expense,Healthcare
Charity contribution CRY foundation Ref #91229,8841.03,expense,Other
POS CHEQUE CLEARING CHARGE FEE,2938.95,income,Other
UPI/redbusintercitybusseat/416061,114.96,expense,Transport
College semester tuition fee INR 35579.30,35579.30,expense,Education
Eye care optical glasses lens Ref #12061,7962.52,expense,Healthcare
UPI/courseraannualspecializationpass/239145,21717.38,expense,Education
POS UDEMY PYTHON MACHINE LEARNING COURSE,39005.29,expense,Education
Ola autos commute Ref #14373,6713.76,expense,Transport
UPI/stationerydepotnotebooksandpens/756596,2543.51,expense,Education
Mahanagar Gas piped natural gas INR 3637.56,3637.56,expense,Utilities
UPI/bescommonthlyelectricitybill/568436,2293.97,expense,Utilities
UPI/sbinifty50indexfunddirect/437864,47553.36,expense,Investment
College semester tuition fee Ref #83831,3543.38,expense,Education
Donation to PM CARES relief fund,107.13,income,Other
POS AIRTEL PREPAID 84 DAYS RECHARGE,3814.19,expense,Utilities
UPI/pindballuchifamilydinner/217308,1998.30,expense,Food
Haldiram's dinner Ref #27146,92.13,expense,Food
UPI/atmcashwithdrawaltransaction/384489,3947.59,expense,Other
UPI/collegesemestertuitionfee/944565,36701.89,expense,Education
POS TANISHQ SILVER JEWELLERY,17388.99,expense,Shopping
Physiotherapy rehabilitation session,2957.31,expense,Healthcare
Local library membership renewal,20505.54,expense,Education
Apple Music individual INR 2053.20,2053.20,expense,Entertainment
Shell India premium fuel,5419.16,expense,Transport
UPI/tataplaydthrecharge/912617,2433.37,expense,Utilities
Cambridge IELTS exam registration fee,20733.41,expense,Education
BWSSB water supply bill Ref #54589,2714.56,expense,Utilities
Haldiram's dinner INR 2615.01,2615.01,expense,Food
POS BHARAT GAS REFILL BOOKING,5395.45,expense,Utilities
Fixed deposit creation ICICI bank,17793.91,expense,Investment
Byju's learning tablet subscription INR 35999.93,35999.93,expense,Education
Auto rickshaw meter payment Ref #65435,7431.98,expense,Transport
POS TATA 1MG HEALTHCARE VITAMIN SUPPLEMENTS,5440.33,expense,Healthcare
UPI/flatlandlordrentdirectneft/286080,17200.49,expense,Rent
UPI/reimbursementmedicalclaimcredit/842057,45567.72,income,Salary
Software development milestone payout Ref #83815,72623.88,income,Freelance
UPI/uberpremiercabride/325583,6354.64,expense,Transport
Tanishq silver jewellery INR 6402.02,6402.02,expense,Shopping
POS EYE CARE OPTICAL GLASSES LENS,9461.78,expense,Healthcare
POS MCDONALD'S DRIVE-THRU,519.10,expense,Food
EdX certificate fee,24620.47,expense,Education
Vaccination clinic booster dose,3083.02,expense,Healthcare
Coding boot camp enrollment Ref #89988,38816.53,expense,Education
POS COLLEGE SEMESTER TUITION FEE,11609.89,expense,Education
UPI/housedepositmonthlyinstallment/478356,12146.93,expense,Rent
Independent code audit consulting fee INR 45379.76,45379.76,income,Freelance
Society apartment maintenance levy Ref #13969,3513.78,expense,Utilities
SRL Diagnostics lipid profile panel Ref #63627,9854.74,expense,Healthcare
Vijay Sales home appliance Ref #32962,19172.48,expense,Shopping
Accenture payroll direct credit Ref #82754,115261.01,income,Salary
POS CAR WASH EXPRESS,477.39,expense,Transport
POS YOUTUBE PREMIUM FAMILY BUNDLE,380.41,expense,Entertainment
Vaccination clinic booster dose Ref #95182,7896.77,expense,Healthcare
House deposit monthly installment Ref #60738,22947.25,expense,Rent
POS FRIEND LOAN REPAYMENT CASH TRANSFER,2436.06,expense,Other
POS FLIPKART ORDER ELECTRONICS,23760.45,expense,Shopping
